Class Index,Title,Description,processed_text
3,Fears for T N pension after talks,Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,union represent worker at Turner    Newall say they be ' disappointed ' after talk with stricken parent firm Federal Mogul .
4,The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com),"SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","SPACE.com - TORONTO , Canada -- a second\team of rocketeer compete for the   # 36;10 million Ansari X Prize , a contest for\privately fund suborbital space flight , have officially announce the first\launch date for its manned rocket ."
4,Ky. Company Wins Grant to Study Peptides (AP),"AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","AP - a company found by a chemistry researcher at the University of Louisville win a grant to develop a method of produce well peptide , which be short chain of amino acid , the building block of protein ."
4,Prediction Unit Helps Forecast Wildfires (AP),"AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","AP - it be barely dawn when Mike Fitzpatrick start his shift with a blur of colorful map , figure and endless chart , but already he know what the day will bring . lightning will strike in place he expect . wind will pick up , moist place will dry and flame will roar ."
4,Calif. Aims to Limit Farm-Related Smog (AP),"AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","AP - Southern California 's smog - fight agency go after emission of the bovine variety Friday , adopt the nation 's first rule to reduce air pollution from dairy cow manure ."
4,Open Letter Against British Copyright Indoctrination in Schools,"The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","the British Department for Education and Skills ( DfES ) recently launch a "" Music Manifesto "" campaign , with the ostensible intention of educate the next generation of british musician . unfortunately , they also team up with the music industry ( EMI , and various artist ) to make this popular . EMI have apparently negotiate their end well , so that child in our school will now be indoctrinate about the illegality of download music . the ignorance and audacity of this get to I a little , so I write an open letter to the dfes about it . unfortunately , it be pedantic , as I suppose you have to be when write to goverment representative . but I hope you find it useful , and perhaps feel inspired to do something similar , if or when the same thing have happen in your area ."
4,Loosing the War on Terrorism,"\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\","\\""sven Jaschan , self - confess author of the Netsky and Sasser virus , is\responsible for 70 percent of virus infection in 2004 , accord to a six - month\virus roundup publish Wednesday by antivirus company Sophos . ""\\""the 18 - year - old Jaschan be take into custody in Germany in May by police who\said he have admit programming both the Netsky and Sasser worm , something\expert at Microsoft confirm . ( a Microsoft antivirus reward program lead to the\teenager 's arrest . ) during the five month precede Jaschan 's capture , there\were at least 25 variant of Netsky and one of the port - scan network worm\Sasser . ""\\""Graham Cluley , senior technology consultant at Sophos , say it be staggeri ... \\"
4,"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters",\\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\,\\FOAF / LOAF   and bloom filter have a lot of interesting property for social\network and whitelist distribution.\\I think we can go one level high though and include GPG / openpgp key\fingerpring distribution in the foaf file for simple web - of - trust base key\distribution.\\What if we use FOAF and include the PGP key fingerprint(s ) for identities?\this could mean a lot .   you include the PGP key fingerprint within the foaf\file of your direct friend and then include a bloom filter of the PGP key\fingerprint of your entire whitelist ( the source FOAF file would of course need\to be encrypt ) .\\Your whitelist would be populate from the social network as your client\discovere new identit ... \\
4,E-mail scam targets police chief,"Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.","Wiltshire Police warn about "" phishe "" after its fraud squad chief be target ."
4,"Card fraud unit nets 36,000 cards","In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","in its first two year , the UK 's dedicated card fraud unit , have recover 36,000 steal card and 171 arrest - and estimate it save 65 m."
